"last_name, first_name",player_id,year,pa,b_out_fly,b_out_ground,b_out_line_drive
"Amaya, Miguel",665804,2024,363,50,100,29
"Casali, Curt",592200,2024,125,20,32,6
"Rortvedt, Ben",666163,2024,328,30,73,18
"Rojas, Miguel",500743,2024,337,41,106,22
"Morel, Christopher",666624,2024,611,67,131,30
"Solano, Donovan",456781,2024,309,43,66,18
"Winker, Jesse",608385,2024,508,54,114,22
"Estrada, Thairo",642731,2024,381,51,108,26
"Wilson, Weston",642215,2024,98,8,15,3
"Berroa, Steward",672642,2024,45,5,6,1
"Pache, Cristian",665506,2024,183,21,36,7
"McCann, James",543510,2024,233,31,51,19
"DeLoach, Zach",676113,2024,75,10,20,2
"Bleday, JJ",668709,2024,642,110,119,41
"Springer III, George",543807,2024,614,70,180,37
"Loftin, Nick",679845,2024,171,27,51,12
"Mervis, Matt",670223,2024,28,6,7,1
"Winn, Masyn",691026,2024,637,93,140,55
"Hoerner, Nico",663538,2024,641,86,169,67
"Cave, Jake",595909,2024,346,41,79,24
"Jones, Jahmai",663330,2024,47,6,7,2
"Langeliers, Shea",669127,2024,534,67,106,26
"Madris, Bligh",676632,2024,75,12,8,3
"Nido, Tomás",621512,2024,140,23,35,10
"Lowe, Brandon",664040,2024,425,53,81,30
"Lux, Gavin",666158,2024,487,50,119,32
"Moncada, Yoán",660162,2024,45,3,12,2
"Bride, Jonah",681146,2024,272,29,65,6
"Del Castillo, Adrian",680728,2024,87,13,9,2
"McNeil, Jeff",643446,2024,472,78,109,37
"Moore, Dylan",664238,2024,441,68,56,25
"Urías, Ramón",602104,2024,301,46,68,17
"Schunk, Aaron",668845,2024,98,14,17,7
"Carter, Evan",694497,2024,162,23,33,9
"Bohm, Alec",664761,2024,606,87,168,40
"Gasper, Mickey",681508,2024,23,1,5,4
